skill_id,skill
1782,Military Training
1620,ML
1796,Mobile Marketing
1802,Model Theory
1805,Modeling
1808,Molecular Engineering
1809,Molecular Physics
1811,Monetary Economics
1825,Morphology
1855,Music Therapy
1625,MYSQL
1863,Nano Materials
1864,Nanotechnology
1870,Natural Language Processing
1881,Naval Architecture
1886,Negotiation
1887,Neoclassical Economics
1917,Neural Engineering
1920,Neuroeconomics
1921,Neurolinguistics
1923,Neuropsychology
1931,NoSQL
1860,NP Completeness
1946,Nuclear Physics
1947,Nuclear Technology
1949,Number Representation
1950,Number Theory
1951,Numerical Analysis
1957,Nursing
1961,Object Database
1975,Ocaml
1999,OpenCard
2006,Operating Systems
2010,Operations Research
2014,Optical Engineering
2017,Optics
2019,Optometry
2031,Orcale VM VirtualBox
2036,Organizational Behaviour
2041,Orthography
1960,OSCP
2045,Outline of Management
2061,Paid Socia Media Advertisements
2066,Paralegal Studies
2067,Parallel Computing
2077,Parser
2080,Parsing
2084,Pascal
2100,Pattern Finding
2110,Performance Engineering
2113,Performing Art
2116,Perl
2117,Permaculture
2121,Personality Psychology
2122,Persuasion
2126,Pharmacology
2128,Philology
2130,Philosophy of Education
2131,Philosophy of Language
2132,Philosophy of Mathematics
2133,Philosophy of Mind
2134,Philosophy of Science
2136,Phislophy of Information
2137,Phonetics
2138,Phonology
2139,Photo Editing
2140,Photogrammetry
2142,Photonics
2051,PHP
2143,Phraseology
2145,Physical Anthropology
2146,Physical Geography
2150,Physical Therapy
2056,PL
2160,Plastics Engineering
2161,Platform
2167,Point of Sale Software
2173,Political Economy
2175,Political Psychology
2178,Polotical Philosophy
2188,Post-Processing
2194,Power Systems Engineering
2195,Pragmatics
2203,PrestaShop
2223,Problem Solving
2229,Process and Methodology
2227,Process Engineering
2235,Product Knowledge
2239,Product Management
2246,Productivity Software Application
2253,Programming Language Pragmatic
2254,Programming Language Theory
2256,Programming Paradigm
2257,Programming Tool
2259,Project Management
2262,Prolog
2263,Proof Theory
2266,Property Information
2268,Property Maintenance
2269,Property Management
2272,Property Tax
2274,Protocol
2277,Psephology
2282,Psycholinguistics
2283,Psychological Anthropology
2286,Psychology of Religion
2287,Psychometrics
2288,Psychophysics
2291,Public Economics
2293,Public Finance
2304,Public Speaking
2316,Python
2320,QEMU
2326,Qualitative Marketing Research
2329,Quality Engineering
2332,Quantitative Marketing Research
2335,Quantum Computing Theory
2337,Quantum Mechanics
2344,R
2350,Radiation Engineering
2351,Radiation Protection Engineering
2371,Real Estate Economics
2372,Real Property
2382,Regional Geography
2383,Regional Planning
2394,Relational Database
2396,Relativistic Mechanics
2397,Release Engineering
2399,Reliability Engineering
2404,Remote Sensing
2412,Requirements Gathering
2423,Reverse Engineering
2437,Robotics
2443,Router
2446,Ruby
2453,Rural Sociology
2455,Rust
2474,Safety Engineering
2459,SAS
2487,Scala
2492,Scheme
2504,Scripting Language
2509,Search Engine Optimization
2512,Search Enging and Keyword Optimization
2511,Search Enging Marketing
2513,Searching
2540,Semantics
2544,Sensation and Perception Psychology
2564,Set
2565,Set Theory
2569,Shopify
2572,Signal Processing
2590,Smaltalk
2592,Sociability
2600,Social Media
2602,Social Media Management
2603,Social Media Marketing
2609,Social Philosophy
2617,Socioeconomics
2618,Sociolinguistics
2625,Soft Computing
2641,Software Testing
2649,Sorting
2658,Space Exploration
2666,Special Effects
2674,Speech and Language Pathology
2671,Speech Science
2680,Sports Engineering
2464,SPSS
2465,SQL
2471,STATA
2694,Statistical AI
2697,Statistical Mechanis
2714,Storyboarding
2715,Storytelling
2724,Structural Engineering
2729,Structured Storage
2732,Stylistics
2748,Support Engineering
2750,Surface Engineering
2754,Sustainable Agriculture
2756,Swift
2758,Syllogistic Logic
2760,Symbolic AI
2761,Symbolic Computation
2762,Symbolic Logic
2764,Syntax
2769,System Context Diagram
2776,T-SQL
2785,Target Audience
2791,Tcl
2800,Telecommunications Engineering
2803,Teletraffic Engineering
2817,Testing
2834,Thermal Engineering
2835,Thermodynamics
2844,Tissue Engineering
2849,Topology
2866,Transport Economics
2870,Transportation Engineering
2872,Tree
2882,Type Theory
2883,Typography
2910,Urban Engineering
2912,Urban Planning
2913,Urban Sociology
2916,Usability Engineering
2928,Vacuum Engineering
2938,Verilog
2942,Verterinary Medicine
2926,VHDL
2955,Virtual Intelligence
2960,Virtual Reality
2964,Visual Art
2965,Visual Basic
2970,Visual Communication
2977,Vitreous Materials
2979,Vmware
2927,VOIP
2983,Voting Systems
3093,vSphere
2992,Web Analytics
3001,Web Design
3002,Web Development
3006,Web Property
3007,Web Scraping
3016,Welding
3017,Welfare Economics
3020,Wireframes
3032,WooCommerce
3037,Wordpress
3042,Writing
3043,Writing Systems
3045,XEN
3046,XML
3057,Yacc
3071,Zooarchaeology
1269,Healthcare Management
12,Abstract Algebra
23,Accounting Software
28,Accuracy
39,Adobe Acrobat
41,Adobe Creative Application
59,Agile
61,Agile Methodology
74,Algaculture
76,Algebraic Geometry
77,Algebraic Number Theory
78,Algebraic Topology
98,Analytic Number Theory
104,Anatomy
120,Anti Money Laundering
141,Application Programming Interface (API)
154,Arboriculture
160,Arithmetic
161,Arithmetic Geometry
170,Asana
171,Aspect-Oriented Programming
189,AutoCAD
193,Automated Billing Systems
196,Automated Marketing Software
233,Basecamp
250,Behavioral Geography
252,Behaviour-Based Robotics
254,Benchmarking
255,Bengali
258,Bhojpuri
274,Biogeography
294,Blogging
221,BREW
314,Budget Planning
317,Build Tool
319,Burmese
328,Business Continuity Planning
388,Cardiology
412,Chatterbot
417,Children Geography
428,Classical Mechanic
432,Classis Mac OS
434,Clear Communication
436,Climatology
463,Coastal Geography
468,Cognitive
472,Cognos Analytics
482,Combinatorial Geometry
483,Combinatorial Number Theory
504,Community Psychology
505,Commutative Ring
528,Computational Economics
532,Computational Number Theory
538,Computer Algebra
577,Configuration Management
586,Constructive Mathematics
588,Consumer Behaviour
595,Content Management System (CMS)
596,Content Mangement System
607,Convex Geometry
620,Corel Draw
633,Counseling Psychology
637,Cray Supercomputer
643,Critical Geography
660,Cultural  Geography
665,Cuniculture
677,Cybernetics
735,Database Design
684,DEC Minicomputer
771,Dermatology
774,Descriptive Statistics
781,Development Geography
787,Developmental Robotics
789,Dialectometry
791,Differential Geometry
792,Differential Topology
803,Digital Media
804,Digital Photography
810,Diophantine Geometry
813,Discrete Geometry
856,Eastern Punjabi
862,Econometrics
885,Editor
893,Egyptian Arabic
915,Elementary Number Theory
943,Endocrinology
953,English
959,Enterprise Resource Planning
971,Enumerative Combinatorics
983,Epigenetic Robotics
853,ETAP
1014,Evolutionary Robotics
1021,Experimental Economics
1035,External Combinatorics
1041,Fabrication
1044,Facial Recognition
1059,Feminist Economics
1060,Feminist Geography
1062,Field Theory
1095,Floriculture
1099,Fluid Mechanics
1125,Free Hand
1126,French
1132,Functional Decomposition
1134,Fungiculture
1149,Gastroenterology
1158,General Algebraic System
1164,General Topology
1180,Geometric Number Theory
1182,Geomorphology
1185,German
1189,Git
1191,Github
1190,GitLab
1192,Glaciology
1205,Google Docs
1207,Google Forms
1211,Google Sheets
1212,Google Slides
1226,Graphic User Interface (GUI)
1233,Green Economics
1239,Gujarati
1240,Gynecology
1252,Hakka Chinese
1253,Handwriting Recognition
1261,Hausa
1263,Health Geography
1271,Heavyweight
1272,Helath Psychology
1273,Heliciculture
1285,Hindi
1289,Historical Geography
1311,Hydroculture
1312,Hydrology
1327,IBM Mainframe
1358,Immunology
1366,Indonesian
1375,Industrial and Organization Psychology
1378,Inferential Statistics
1424,Intellectual Property Law
1426,Intelligent Word Recognition
1429,Interactive Media
1435,Internal Medicine
1444,International Politics
1469,Iranian Persian
1471,Islamic Economics
1474,Italian
1478,Japanese
1492,Javanese
1495,Jin Chinese
1476,JIRA
1508,Kannada
1522,Know Your Customer (KYC)
1527,Korean
1539,Landscape Ecology
1541,Language Acquisition
1543,Language Identification
1562,Legal Psychology
1592,Linux
1599,Local Government Studies
1626,Machien Translation
3086,macOS
1637,Maithili
1639,Malay
1640,Malayalam
1652,Mandarin Chinese
1659,Marathi
1663,Mariculture
1683,Marxist Geography
1713,Mechanics of Deformable Solids
1714,Mechanics of Structures
1722,Media Psychology
1737,Metamodel
1746,Microsoft .NET
1751,Microsoft Excel
1755,Microsoft Office
1774,Military Geography
1778,Military Psychology
1783,Min Nan Chinese
1847,Multisim
1868,Natural Langauge Understanding
1877,Natural Language User Interface
1884,Needs Analysis
1922,Neurology
1952,Numerical Competence
1964,Object Recognition
1966,Object-Oriented Programming
1976,Occupational Health Psychology
1978,Odia
1984,Olericulture
2011,Ophthalmology
2015,Optical Mark Recognition
2020,Oracle
2025,Oracle Netsuite
2032,Order Theory
2062,Palaeogeography
2064,Palm PDA
2078,Parser Creation Tool
2083,Particle Mechanics
2096,Pastoral Psychology
2097,Pathology
2098,Pathophysiology
2104,Payment Processing
2106,Pediatrics
2112,Performance Review
2127,Pharmacy
2152,Physiology
2172,Polish
2174,Political Geography
2181,Polynomial
2186,Population Geography
2187,Portuguese
2196,Predicate Logic
2220,Probability Theory
2228,Process Model
2238,Product Lifecycle Management
2241,Product Roadmap
2251,Programming
2260,Project Planning
2270,Property Management Software
2271,Property Management System
2273,Propositional Logic
2276,Prototyping
2280,Pspice
2281,Psychiatry
2284,Psychological Testing
2301,Public Policy
2319,QA Testing
2327,Quality Assurance
2328,Quality Control
2333,Quantitative Report
2334,Quantitative Research
2341,Question Answering
2354,Radiology
2415,Responsive Design
2416,Responsive Design Principle
2422,Revenue Recognition
2431,Ring Theory
2434,Risk Management
2450,Rule-Based Programming
2454,Russian
2481,Salesforce
2456,SAP
2491,Scheduling
2493,School Psychology
2462,SCRUM Methodology
2510,Search Engine Optimization (SEO)
2539,Semantic Translation
2559,Sericulture
2574,Silviculture
2579,Simulink
2582,Sketch
2585,Slack
2598,Social Geography
2604,Social Media Platform
2615,Socialist Economics
2644,Soil Geography
2654,Source Code Managemet
2662,Spanish
