index,1 - Primary Education,2 - PMR / PT3,3 - SPM / O Level / SKM,4 - STPM / A Level,5 - Diploma / DVM,6 - Bachelor's,7 - Master's,8 - Doctoral (PhD),total
Culinary Art,,,3.0,,3.0,1.0,,,7.0
Business Intelligence Testing,1.0,1.0,2.0,1.0,2.0,,,,7.0
Email Management,,,3.0,,3.0,1.0,,,7.0
Multi-model Database Management System,,,3.0,,2.0,1.0,,,6.0
Radiology,,,4.0,,,2.0,,,6.0
Key Management,,,4.0,,1.0,1.0,,,6.0
Patient Care,,,2.0,,2.0,2.0,,,6.0
Search Engine Optimization (SEO),1.0,,2.0,,3.0,,,,6.0
Interactive Media,,,4.0,,2.0,,,,6.0
Responsive Web Design,,,2.0,,2.0,2.0,,,6.0
Data Presentation,,,2.0,1.0,2.0,1.0,,,6.0
Enterprise Software,,,4.0,,1.0,1.0,,,6.0
Sustainable Development,,,4.0,,2.0,,,,6.0
Email Client,1.0,,1.0,,2.0,2.0,,,6.0
Working Capital,,,4.0,,1.0,1.0,,,6.0
Vulnerability,,,4.0,,1.0,1.0,,,6.0
Search Enging Marketing,,,4.0,,2.0,,,,6.0
Empathy,,,4.0,,1.0,1.0,,,6.0
Vmware ESXi,,,2.0,,,3.0,,1.0,6.0
Systems Engineering,,,4.0,,1.0,1.0,,,6.0
Encryption,,,4.0,,1.0,1.0,,,6.0
e-business,,,2.0,,2.0,2.0,,,6.0
Applied Mathematics,,,2.0,,2.0,2.0,,,6.0
Goal Tracking System,,3.0,1.0,,2.0,,,,6.0
Social Work,,,2.0,,3.0,1.0,,,6.0
Storage Management,,,2.0,,3.0,1.0,,,6.0
Electronic Materials,,,4.0,,2.0,,,,6.0
Secure Coding,,,2.0,,,3.0,,1.0,6.0
Yii,,,3.0,,2.0,1.0,,,6.0
Operations Research,,,3.0,,2.0,1.0,,,6.0
Investment Banking,,,3.0,,1.0,2.0,,,6.0
Enterprise Resource Planning,1.0,,2.0,,,3.0,,,6.0
Gamification,,,3.0,,2.0,1.0,,,6.0
Key-value Database Management System,,,3.0,,2.0,1.0,,,6.0
Urban Engineering,1.0,,4.0,,1.0,,,,6.0
Facial Recognition,,,3.0,,2.0,1.0,,,6.0
Search Engine Optimization,1.0,,2.0,,3.0,,,,6.0
Syntax,1.0,,4.0,,1.0,,,,6.0
Joomla,,,3.0,,2.0,1.0,,,6.0
Amazon Web Service (AWS),,,3.0,,1.0,2.0,,,6.0
Cloud Application,,,2.0,,2.0,1.0,1.0,,6.0
Storytelling,,,3.0,,,3.0,,,6.0
Microsoft Azure,1.0,,4.0,,1.0,,,,6.0
Mobile Development,1.0,,4.0,,,1.0,,,6.0
Revision Control,1.0,,5.0,,,,,,6.0
Stock Market,,,3.0,,1.0,2.0,,,6.0
Relational Database Management System,,,3.0,,2.0,1.0,,,6.0
Search Enging and Keyword Optimization,1.0,,2.0,,3.0,,,,6.0
Business Analytics,1.0,,3.0,,2.0,,,,6.0
Paid Socia Media Advertisements,,,4.0,,1.0,1.0,,,6.0
Testing Hypothesis,2.0,1.0,,,1.0,2.0,,,6.0
Project Chart,,,2.0,,2.0,2.0,,,6.0
Facilities Engineering,,,4.0,1.0,1.0,,,,6.0
Horticulture,,1.0,2.0,,1.0,2.0,,,6.0
Budget Planning,,2.0,1.0,,1.0,2.0,,,6.0
Liquidation,,,5.0,,1.0,,,,6.0
Property Management Software,,2.0,1.0,,2.0,1.0,,,6.0
Storyboarding,,1.0,2.0,,,3.0,,,6.0
Social Selling,,1.0,2.0,,2.0,1.0,,,6.0
Gecko,,,2.0,,2.0,2.0,,,6.0
Ethernet,1.0,1.0,2.0,,1.0,1.0,,,6.0
Development Studies,,,2.0,,4.0,,,,6.0
Game Development,,,2.0,,4.0,,,,6.0
COBOL,,,4.0,,1.0,1.0,,,6.0
Statutory Law,,1.0,2.0,,2.0,1.0,,,6.0
IP Address,,1.0,2.0,,2.0,1.0,,,6.0
Petty Cash Control,,2.0,3.0,,,1.0,,,6.0
Natural Language Processing,,1.0,2.0,,2.0,1.0,,,6.0
Natural Language Processing (NLP),,1.0,2.0,,2.0,1.0,,,6.0
Natural Language Processing Toolkit (NLTK),,1.0,2.0,,2.0,1.0,,,6.0
Natural Language Processing System,,1.0,2.0,,2.0,1.0,,,6.0
Opera,,1.0,1.0,,1.0,3.0,,,6.0
Regression Testing,,,2.0,,2.0,2.0,,,6.0
Meteorology,,1.0,1.0,1.0,1.0,2.0,,,6.0
Knowledge Management,,1.0,3.0,,2.0,,,,6.0
Market Segmentation,,,2.0,,1.0,3.0,,,6.0
Objection Handling,2.0,1.0,,,3.0,,,,6.0
Unit Cost,2.0,1.0,,,1.0,2.0,,,6.0
Verification And Validation,,2.0,2.0,,2.0,,,,6.0
Fast Ethernet,1.0,1.0,2.0,,1.0,1.0,,,6.0
Global Server Load Balancing,,,4.0,,2.0,,,,6.0
Science and Technology Studies,,,4.0,,1.0,,,1.0,6.0
Talent Management,,,4.0,,2.0,,,,6.0
Electronic Key Management System,,,2.0,2.0,1.0,1.0,,,6.0
Agricultural Production,,,1.0,,2.0,3.0,,,6.0
SAS,,,2.0,,1.0,3.0,,,6.0
Oracle Databases,1.0,,3.0,,1.0,1.0,,,6.0
Professional Training,,,5.0,,1.0,,,,6.0
Property Management System,,2.0,3.0,,1.0,,,,6.0
Maven,,2.0,3.0,,1.0,,,,6.0
Logic,,,4.0,,1.0,1.0,,,6.0
Social Networking Tool,,,4.0,,2.0,,,,6.0
Software Package,,,4.0,,2.0,,,,6.0
Innovation Management,,,4.0,,2.0,,,,6.0
Financial Modeling,,,3.0,,2.0,,,,5.0
Web Scraping,,,4.0,,1.0,,,,5.0
Digital Printing,,,2.0,,2.0,1.0,,,5.0
Contact Manager,,,2.0,1.0,2.0,,,,5.0
Psychometrics,,1.0,1.0,,2.0,1.0,,,5.0
Pediatrics,,,2.0,,2.0,,,,4.0
Sentiment Analysis,,,2.0,,1.0,1.0,,,4.0
Supervised Machine Learning,,,2.0,,1.0,1.0,,,4.0
SPSS,,,1.0,,1.0,2.0,,,4.0
Ajax,,,2.0,,,2.0,,,4.0
Problem Management,,,2.0,,1.0,1.0,,,4.0
Social Psychology,,,,,2.0,2.0,,,4.0
Decision Process,,,2.0,,1.0,1.0,,,4.0
Sociology,,,,,2.0,2.0,,,4.0
PrestaShop,,,2.0,,,2.0,,,4.0
Public Health,,,2.0,,2.0,,,,4.0
Financial Risk,,,,,,4.0,,,4.0
Oracle NoSQL Database,,,2.0,,1.0,1.0,,,4.0
Dash,,,2.0,,1.0,1.0,,,4.0
Signal Processing,,,2.0,,1.0,1.0,,,4.0
Human Machine Interface,,,1.0,1.0,,2.0,,,4.0
Corel Draw,,,2.0,,,2.0,,,4.0
Text Analysis,,,1.0,1.0,2.0,,,,4.0
Proof Theory,,,2.0,,1.0,1.0,,,4.0
Animal Husbandry,,,1.0,,1.0,2.0,,,4.0
Polytron Version Control System (PVCS),,,2.0,,1.0,1.0,,,4.0
Gantt Chart,,,1.0,,1.0,2.0,,,4.0
Extract Transform Load (ETL),,,1.0,,2.0,1.0,,,4.0
Socket,,,1.0,,2.0,1.0,,,4.0
Conceptual Art,,,2.0,,1.0,1.0,,,4.0
Economic Growth,,,1.0,,2.0,1.0,,,4.0
Music Therapy,,,1.0,,2.0,1.0,,,4.0
MATLAB,,,1.0,,1.0,2.0,,,4.0
T-SQL,,,1.0,1.0,,2.0,,,4.0
Wireless LAN,,,2.0,,1.0,1.0,,,4.0
Slack,,,2.0,,1.0,1.0,,,4.0
Financial Statement Analysis,,,2.0,,1.0,1.0,,,4.0
Greenhopper,,,2.0,,1.0,1.0,,,4.0
VersionOne,,,2.0,,1.0,1.0,,,4.0
Microsoft SQL Servers,,,2.0,,,2.0,,,4.0
Visual Studio Code,,,2.0,,,2.0,,,4.0
Microsoft Power BI,,,1.0,2.0,,1.0,,,4.0
Version Control System,,,2.0,,1.0,1.0,,,4.0
Persuasion,,,1.0,,1.0,2.0,,,4.0
Cordova,,,2.0,,1.0,1.0,,,4.0
Visual Studio,,,2.0,,,2.0,,,4.0
Quma Version Control System (QVCS),,,2.0,,1.0,1.0,,,4.0
Red Hat,,,2.0,,1.0,1.0,,,4.0
User Interface Design,1.0,,1.0,,,2.0,,,4.0
Biomedical Engineering,,1.0,1.0,,2.0,,,,4.0
Privacy,,1.0,,,3.0,,,,4.0
Computer Systems Organization,,1.0,2.0,,1.0,,,,4.0
Semantic Analysis,,1.0,,1.0,1.0,1.0,,,4.0
Food Service Operations,,1.0,1.0,,1.0,1.0,,,4.0
Marketing Content Development,,1.0,1.0,,1.0,1.0,,,4.0
Imagine,,1.0,1.0,,1.0,1.0,,,4.0
Jin Chinese,1.0,,,1.0,,2.0,,,4.0
Materials Science,,1.0,2.0,,1.0,,,,4.0
Geography,1.0,,2.0,,,1.0,,,4.0
Mean Shift,,1.0,1.0,,2.0,,,,4.0
French,,1.0,2.0,,,,1.0,,4.0
Systems Management,,1.0,1.0,,,2.0,,,4.0
Polymer Engineering,,1.0,2.0,,1.0,,,,4.0
Torch,1.0,,3.0,,,,,,4.0
Graphic User Interface (GUI),1.0,,1.0,,,2.0,,,4.0
International Financial Reporting Standards (IFRS),1.0,,1.0,,2.0,,,,4.0
Vacuum Engineering,1.0,,2.0,,1.0,,,,4.0
Event Planning,,2.0,,,,2.0,,,4.0
SQLite,,,4.0,,,,,,4.0
Apache Kafka,1.0,,1.0,2.0,,,,,4.0
Microsoft Powerpoint,,,4.0,,,,,,4.0
Stata,,2.0,2.0,,,,,,4.0
Graphical User Interface,1.0,,1.0,,,2.0,,,4.0
Graphical User Interface (GUI),1.0,,1.0,,,2.0,,,4.0
Pattern Recognition,,,2.0,,1.0,1.0,,,4.0
Enterprise System,,,2.0,,1.0,1.0,,,4.0
Mastercam,,,3.0,,1.0,,,,4.0
Application Security,,,3.0,,1.0,,,,4.0
Ubuntu,,,3.0,,,1.0,,,4.0
OpenStack,,,3.0,,,1.0,,,4.0
Web API,,,4.0,,,,,,4.0
Apache Ant,,,4.0,,,,,,4.0
MongoDB,,,4.0,,,,,,4.0
Programming Tool,,,4.0,,,,,,4.0
Performing Art,1.0,1.0,1.0,,,1.0,,,4.0
Microsoft PowerPoint,,,4.0,,,,,,4.0
STATA,,2.0,2.0,,,,,,4.0
Know Your Customer (KYC),,,,,3.0,,,,3.0
Engineering Technology,,,1.0,1.0,1.0,,,,3.0
Architectural Engineering,,,,,2.0,1.0,,,3.0
Business Intelligence (BI),1.0,,1.0,,1.0,,,,3.0
Currency,,,,,3.0,,,,3.0
Agronomy,,2.0,,,,1.0,,,3.0
Ant,,,,,2.0,1.0,,,3.0
Instrumentaion Engineering,,,2.0,,,1.0,,,3.0
Jelastic,,,2.0,,,1.0,,,3.0
Cookies,,,,,2.0,,,,2.0
Principle of Legality,,,,,,2.0,,,2.0
Exploit,,,1.0,,1.0,,,,2.0
Cost-benefit Analysis,,,1.0,,1.0,,,,2.0
IBM DB2,,,,,,2.0,,,2.0
Regional Planning,,,1.0,,1.0,,,,2.0
Socket Programming,,,1.0,,,1.0,,,2.0
Antivirus Software,,,,,,2.0,,,2.0
IBM Cognos Business Intelligence,,,,,,2.0,,,2.0
Adobe Acrobat,,,,,,2.0,,,2.0
Crisis Management,1.0,,,,,1.0,,,2.0
Media Production,,,,,2.0,,,,2.0
Public Relations (PR),1.0,,,,,1.0,,,2.0
Rapport Building,,,,,1.0,1.0,,,2.0
Rent,,,,,1.0,1.0,,,2.0
Process Control System,,,,1.0,,1.0,,,2.0
Ensemble,,,,1.0,1.0,,,,2.0
Storage Systems,1.0,,1.0,,,,,,2.0
Mixed Reality,,,,,2.0,,,,2.0
Hydroponics,,,,,2.0,,,,2.0
Visual Communication,1.0,,,,1.0,,,,2.0
Capacity Utilization,,,2.0,,,,,,2.0
Rehabilitation,,,1.0,,,1.0,,,2.0
Network Service,,,1.0,,,1.0,,,2.0
Cognitive Psychology,,,1.0,,1.0,,,,2.0
Pandas,,,2.0,,,,,,2.0
Product Liability,,,2.0,,,,,,2.0
Derivative,,,2.0,,,,,,2.0
Database Development,,,2.0,,,,,,2.0
Marketing Consulting,1.0,,,,,1.0,,,2.0
Programming Model,,,1.0,,,1.0,,,2.0
Chemical Processing,,,1.0,,1.0,,,,2.0
Google OR-Tools,,,1.0,,1.0,,,,2.0
Design Analysis,,,1.0,,,1.0,,,2.0
Gurobi,,,1.0,,1.0,,,,2.0
CPLEX,,,1.0,,1.0,,,,2.0
Cognitive,,,1.0,,1.0,,,,2.0
Mathematical Programming,,,1.0,,1.0,,,,2.0
Mathematical Logic,1.0,1.0,,,,,,,2.0
Intellectual Property (IP),,,1.0,,1.0,,,,2.0
Intellectual Property Law,,,1.0,,1.0,,,,2.0
Industrial Design,,,1.0,,1.0,,,,2.0
Reliability Engineering,,,2.0,,,,,,2.0
Russian,1.0,,1.0,,,,,,2.0
Information Science,,2.0,,,,,,,2.0
Issue Tracking System,,,1.0,,,1.0,,,2.0
Records Management,,,1.0,,,1.0,,,2.0
Intellectual Property Rights,,,1.0,,1.0,,,,2.0
ISO 9000,,,1.0,,1.0,,,,2.0
Toxicology,,,1.0,,1.0,,,,2.0
Immunology,,,1.0,,1.0,,,,2.0
Cassandra,,,1.0,,,1.0,,,2.0
Complex Analysis,,,1.0,,1.0,,,,2.0
Microsoft Business Intelligence,,,,,,1.0,,,1.0
Oracle SQL Developer,,,,,,1.0,,,1.0
Typography,,,1.0,,,,,,1.0
Embedded System,,,1.0,,,,,,1.0
Microsoft Visio,,,,,,1.0,,,1.0
