index,1 - Primary Education,2 - PMR / PT3,3 - SPM / O Level / SKM,4 - STPM / A Level,5 - Diploma / DVM,6 - Bachelor's,7 - Master's,8 - Doctoral (PhD),total
Azure Machine Learning,1.0,3.0,18.0,2.0,20.0,23.0,1.0,,68.0
Scheme,3.0,6.0,24.0,,21.0,14.0,,,68.0
Division,2.0,7.0,31.0,,16.0,10.0,1.0,1.0,68.0
React,3.0,,27.0,3.0,19.0,16.0,,,68.0
Japanese,2.0,9.0,28.0,1.0,17.0,10.0,,,67.0
Data Science,1.0,2.0,16.0,3.0,22.0,22.0,,,66.0
Bookkeeping,1.0,2.0,28.0,2.0,22.0,8.0,1.0,1.0,65.0
Android,4.0,4.0,25.0,1.0,19.0,10.0,1.0,,64.0
Mining,2.0,6.0,22.0,2.0,20.0,6.0,,5.0,63.0
Adobe Illustrator,2.0,5.0,30.0,2.0,9.0,15.0,,,63.0
Public Speaking,4.0,,27.0,1.0,17.0,14.0,,,63.0
Development Tools,,1.0,26.0,2.0,21.0,12.0,1.0,,63.0
Product Knowledge,2.0,3.0,27.0,,13.0,17.0,,,62.0
Docker,2.0,3.0,27.0,2.0,13.0,13.0,1.0,,61.0
Peripheral,2.0,3.0,27.0,,17.0,12.0,,,61.0
Goods and Services,1.0,,25.0,2.0,14.0,19.0,,,61.0
Root Cause Analysis,2.0,4.0,28.0,,13.0,14.0,,,61.0
Computing,2.0,1.0,19.0,2.0,16.0,19.0,1.0,,60.0
Change Management,2.0,1.0,32.0,,17.0,8.0,,,60.0
Online Marketing,1.0,8.0,18.0,1.0,20.0,11.0,,,59.0
Animation,2.0,5.0,23.0,2.0,12.0,15.0,,,59.0
Process Engineering,3.0,5.0,28.0,2.0,13.0,7.0,1.0,,59.0
Blogging,4.0,6.0,28.0,3.0,12.0,5.0,,,58.0
Sampling,2.0,1.0,32.0,,13.0,9.0,,,57.0
Rally,1.0,1.0,34.0,1.0,15.0,4.0,,1.0,57.0
JIRA,,2.0,27.0,,9.0,18.0,,1.0,57.0
Project Planning,2.0,5.0,17.0,,19.0,13.0,,,56.0
Resource Management,3.0,3.0,27.0,,18.0,5.0,,,56.0
Chemical Engineering,2.0,6.0,22.0,1.0,13.0,11.0,,,55.0
Money,1.0,1.0,25.0,2.0,10.0,15.0,,,54.0
Cloud Platform,1.0,4.0,20.0,,14.0,15.0,,,54.0
Bag,2.0,2.0,23.0,3.0,17.0,6.0,,1.0,54.0
NoSQL,1.0,,19.0,3.0,10.0,21.0,,,54.0
Copywriting,4.0,3.0,15.0,,11.0,20.0,,,53.0
Mass Communication,4.0,4.0,19.0,,8.0,17.0,,1.0,53.0
Angular,,,21.0,3.0,15.0,12.0,1.0,,52.0
Software System,5.0,2.0,19.0,1.0,12.0,13.0,,,52.0
Depression,2.0,4.0,16.0,1.0,16.0,13.0,,,52.0
Spark,3.0,2.0,19.0,3.0,15.0,9.0,1.0,,52.0
Clear Communication,2.0,4.0,22.0,1.0,10.0,13.0,,,52.0
Target Audience,1.0,5.0,22.0,3.0,9.0,10.0,1.0,,51.0
Regression,,2.0,16.0,,13.0,20.0,,,51.0
Computer Hardware,,1.0,21.0,1.0,15.0,13.0,,,51.0
GitLab,,5.0,22.0,,15.0,9.0,,,51.0
Motion Graphic Design,1.0,2.0,20.0,1.0,10.0,17.0,,,51.0
Accounting Standards,1.0,2.0,23.0,1.0,16.0,8.0,,,51.0
Ethics,2.0,6.0,22.0,,15.0,6.0,,,51.0
Web Design,1.0,3.0,20.0,2.0,11.0,13.0,,,50.0
Outlook,1.0,3.0,19.0,1.0,13.0,13.0,,,50.0
LinkedIn,,5.0,26.0,,9.0,9.0,1.0,,50.0
