index,1 - Primary Education,2 - PMR / PT3,3 - SPM / O Level / SKM,4 - STPM / A Level,5 - Diploma / DVM,6 - Bachelor's,7 - Master's,8 - Doctoral (PhD),total,domain
Software Design,1,4,17,,6,7,1,,36,Computer Science
Growth Strategy,1,3,7,,17,7,,,35,Business
Beaker,2,,19,1,6,7,,,35,Information Technology (IT)
Network Security,1,2,15,1,4,11,,1,35,Information Technology (IT)
PL,2,6,13,,6,8,,,35,Computer Science
Induction,,4,13,1,11,5,,,34,Others
CMM,1,2,16,3,6,6,,,34,Computer Science
News,,,11,4,7,11,1,,34,Others
Solaris,2,,21,1,6,4,,,34,Computer Science
Chemistry,1,3,14,3,7,5,,1,34,Others
Semiconductors,2,4,11,1,7,9,,,34,Others
Business Acumen,,1,18,,8,6,,,33,Business
Adaptability,1,2,13,2,12,3,,,33,Business
C++,1,2,12,1,6,11,,,33,Computer Science
Aesthetics,3,1,12,1,8,8,,,33,Others
UX Design,2,2,15,,4,9,,,32,Others
Google Cloud Platform (GCP),,1,10,,8,13,,,32,Information Technology (IT)
Literature,,2,11,1,10,7,,1,32,Others
Instrumentation,1,1,9,2,9,10,,,32,Others
Client Relations,,2,14,2,9,5,,,32,Business
CVS,1,5,11,1,10,2,1,,31,Computer Science
Sales Presentation,,1,14,2,8,5,1,,31,Business
Management Consulting,2,2,10,4,5,8,,,31,Business
Medicine,2,4,14,,9,2,,,31,Others
Information Systems Security,,3,11,1,8,8,,,31,Information Technology (IT)
Wireframes,1,,6,,11,12,,,30,Business
Web Server,,2,14,2,2,10,,,30,Information Technology (IT)
Industrial Engineering,,2,17,1,6,4,,,30,Others
PHP Development,,2,14,1,10,3,,,30,Computer Science
Entrepreneurship,2,1,13,,11,3,,,30,Business
Social Media Marketing,2,2,13,,8,5,,,30,Business
Data Science Tool,1,,6,2,8,13,,,30,Data Science
Motion Pictures,1,2,12,,5,9,,,29,Others
Business Continuity Planning,2,6,6,,5,10,,,29,Computer Science
Predictive Modeling,1,1,7,,7,13,,,29,Data Science
Shortage,1,1,5,1,13,8,,,29,Others
Variable,3,1,9,1,7,8,,,29,Computer Science
Customer Relationship Management (CRM),1,,8,,9,11,,,29,Business
Database Management System,,1,16,3,4,4,,,28,Computer Science
Biotechnology,,2,11,2,11,1,1,,28,Others
Theatre,1,2,12,,5,8,,,28,Others
Vmware,,3,11,,5,9,,,28,Computer Science
Outreach,1,2,9,,9,7,,,28,Business
Development Management,1,2,12,,6,5,,1,27,Business
Mergers and Acquisitions (M&A),2,1,11,1,6,6,,,27,Business
Quality Engineering,,,10,,9,7,,,26,Others
Visualization,1,,11,,5,9,,,26,Computer Science
Polish,1,4,7,,8,6,,,26,Others
Computer Engineering,,1,7,2,5,11,,,26,Others
Regression,,1,8,,7,10,,,26,Data Science
Terraform,1,1,13,,6,4,1,,26,Computer Science
Special Effects,2,5,9,1,4,5,,,26,Computer Science
Cloud Service,1,3,8,1,9,4,,,26,Information Technology (IT)
Laravel,,,13,2,7,4,,,26,Computer Science
Cold Calling,,,12,,7,7,,,26,Business
Social Security,,2,10,1,5,8,,,26,Information Technology (IT)
Income Statement,,2,10,2,6,6,,,26,Business
Labour and Employment Law,2,2,10,1,7,4,,,26,Others
System Administration,1,2,8,2,6,6,,,25,Information Technology (IT)
Project Supervision,1,,15,,4,5,,,25,Business
Therapy,1,1,11,,7,4,,1,25,Others
Variance Analysis,,1,10,,10,4,,,25,Data Science
Analytical Thinking,,8,9,,5,3,,,25,Data Science
Sports Engineering,1,,12,1,6,4,1,,25,Others
Kafka,1,1,9,,9,4,1,,25,Computer Science
Ansible,1,1,15,,3,4,,,24,Computer Science
TensorFlow,1,,4,2,6,11,,,24,Data Science
Scikit-learn,1,,4,2,6,11,,,24,Data Science
Brainstorming,1,1,10,2,6,3,,1,24,Business
International Business,,2,8,,9,5,,,24,Business
Newsletters,1,2,9,1,6,5,,,24,Business
Poster,1,2,12,,4,5,,,24,Others
Google Analytics,1,,15,,5,3,,,24,Data Science
Power Management,,1,12,2,1,8,,,24,Business
Data Capture,,1,12,2,1,8,,,24,Computer Science
Optics,1,2,9,,7,5,,,24,Others
Delegation,,1,9,,11,3,,,24,Business
Supply Chain Risk Management,,1,11,,9,3,,,24,Business
PyTorch,1,,4,2,6,11,,,24,Data Science
Property Management,,1,12,2,1,8,,,24,Business
Cash Flow Management,1,,12,1,9,1,,,24,Business
Full Stack Software Engineering,,3,10,1,6,4,,,24,Computer Science
Textiles,,2,9,2,7,4,,,24,Others
Public Relations and Communications,,3,9,,6,6,,,24,Business
